"id_aforo","fecha_ingreso","fecha_salida"
98707,2020-09-13 07:04:26,
98708,2020-09-13 07:04:26,
98709,2020-09-13 07:04:27,
98710,,2020-09-13 07:04:27
98711,2020-09-13 07:04:27,
98712,,2020-09-13 07:04:27
98713,2020-09-13 07:04:27,
98714,2020-09-13 07:04:27,
98715,,2020-09-13 07:04:27
98716,2020-09-13 07:04:27,
98717,2020-09-13 07:04:27,
98718,2020-09-13 07:04:27,
98719,2020-09-13 07:04:27,
98720,2020-09-13 07:04:27,
98721,2020-09-13 07:04:27,
98722,2020-09-13 07:04:27,
98723,2020-09-13 07:04:27,
98724,2020-09-13 07:04:27,
98725,2020-09-13 07:04:27,
98726,2020-09-13 07:04:27,
98727,2020-09-13 07:04:27,
98728,,2020-09-13 07:04:27
98729,2020-09-13 07:04:27,
98730,2020-09-13 07:04:28,
98731,2020-09-13 07:04:28,
98732,2020-09-13 07:04:28,
98733,,2020-09-13 07:04:28
98734,,2020-09-13 07:04:28
98735,,2020-09-13 07:04:28
98736,,2020-09-13 07:04:28
98737,,2020-09-13 07:04:28
98738,,2020-09-13 07:04:28
98739,,2020-09-13 07:04:28
98740,,2020-09-13 07:04:28
98741,,2020-09-13 07:04:28
98742,,2020-09-13 07:04:28
98743,,2020-09-13 07:04:28
98744,,2020-09-13 07:04:28
98745,,2020-09-13 07:04:28
98746,,2020-09-13 07:04:28
98747,,2020-09-13 07:04:28
98748,,2020-09-13 07:04:28
98749,,2020-09-13 07:04:28
98750,,2020-09-13 07:04:28
98751,,2020-09-13 07:04:28
98752,,2020-09-13 07:04:28
98753,2020-09-13 07:04:39,
98754,2020-09-13 07:04:40,
98755,2020-09-13 07:04:47,
98756,2020-09-13 07:04:48,
98757,,2020-09-13 07:04:51
98758,,2020-09-13 07:04:52
98759,2020-09-13 07:04:52,
98760,,2020-09-13 07:04:54
98761,2020-09-13 07:05:00,
98762,2020-09-13 07:05:00,
98763,,2020-09-13 07:05:01
98764,,2020-09-13 07:05:01
98765,2020-09-13 07:07:49,
98766,,2020-09-13 07:12:02
98767,2020-09-13 07:12:17,
98768,2020-09-13 07:12:18,
98769,2020-09-13 07:12:48,
98770,2020-09-13 07:14:34,
98771,,2020-09-13 07:17:56
98772,,2020-09-13 07:17:57
98773,2020-09-13 07:26:39,
98774,2020-09-13 07:26:39,
98775,,2020-09-13 07:26:40
98776,,2020-09-13 07:28:49
98777,2020-09-13 07:28:50,
98778,2020-09-13 07:28:50,
98779,2020-09-13 07:30:54,
98780,,2020-09-13 07:40:08
98781,2020-09-13 07:40:30,
98782,2020-09-13 07:41:16,
98783,2020-09-13 07:42:02,
98784,2020-09-13 07:42:15,
98785,2020-09-13 07:46:23,
98786,,2020-09-13 07:46:27
98787,,2020-09-13 07:46:29
98788,,2020-09-13 07:50:26
98789,2020-09-13 07:59:22,
98790,2020-09-13 07:59:51,
98791,2020-09-13 08:00:26,
98792,2020-09-13 08:00:26,
98793,,2020-09-13 08:00:28
98794,,2020-09-13 08:00:29
98795,,2020-09-13 08:00:45
98796,2020-09-13 08:02:44,
98797,2020-09-13 08:03:15,
98798,,2020-09-13 08:05:51
98799,,2020-09-13 08:05:52
98800,,2020-09-13 08:05:53
98801,,2020-09-13 08:06:12
98802,2020-09-13 08:06:56,
98803,2020-09-13 08:07:22,
98804,2020-09-13 08:08:03,
98805,2020-09-13 08:11:14,
98806,2020-09-13 08:12:05,
98807,,2020-09-13 08:12:24
98808,2020-09-13 08:13:16,
98809,2020-09-13 08:13:28,
98810,,2020-09-13 08:13:37
98811,,2020-09-13 08:14:03
98812,2020-09-13 08:18:57,
98813,2020-09-13 08:19:01,
98814,2020-09-13 08:21:43,
98815,2020-09-13 08:21:44,
98816,2020-09-13 08:22:34,
98817,2020-09-13 08:22:35,
98818,,2020-09-13 08:22:55
98819,,2020-09-13 08:24:04
98820,,2020-09-13 08:24:05
98821,2020-09-13 08:24:44,
98822,2020-09-13 08:24:47,
98823,2020-09-13 08:26:12,
