"id_aforo","fecha_ingreso","fecha_salida"
11354,,2020-09-05 12:41:12
11355,,2020-09-05 12:41:12
11356,,2020-09-05 12:41:18
11357,2020-09-05 12:41:23,
11358,,2020-09-05 12:41:33
11359,2020-09-05 12:41:34,
11360,2020-09-05 12:41:42,
11361,,2020-09-05 12:41:43
11362,2020-09-05 12:41:50,
11363,,2020-09-05 12:41:58
11364,2020-09-05 12:42:33,
11365,,2020-09-05 12:42:34
11366,2020-09-05 12:42:45,
11367,,2020-09-05 12:42:46
11368,,2020-09-05 12:42:50
11369,,2020-09-05 12:43:26
11370,,2020-09-05 12:43:28
11371,2020-09-05 12:43:36,
11372,2020-09-05 12:43:37,
11373,2020-09-05 12:43:38,
11374,2020-09-05 12:43:51,
11375,,2020-09-05 12:43:52
11376,,2020-09-05 12:43:55
11377,2020-09-05 12:44:01,
11378,2020-09-05 12:44:04,
11379,2020-09-05 12:44:11,
11380,2020-09-05 12:44:18,
11381,2020-09-05 12:45:11,
11382,2020-09-05 12:45:12,
11383,2020-09-05 12:45:12,
11384,2020-09-05 12:45:14,
11385,2020-09-05 12:45:14,
11386,2020-09-05 12:45:20,
11387,,2020-09-05 12:45:20
11388,,2020-09-05 12:45:26
11389,2020-09-05 12:45:27,
11390,,2020-09-05 12:45:27
11391,2020-09-05 12:45:29,
11392,,2020-09-05 12:45:34
11393,,2020-09-05 12:45:35
11394,,2020-09-05 12:45:48
11395,2020-09-05 12:46:26,
11396,2020-09-05 12:46:27,
11397,2020-09-05 12:46:28,
11398,2020-09-05 12:46:28,
11399,2020-09-05 12:46:33,
11400,2020-09-05 12:46:42,
11401,2020-09-05 12:46:43,
11402,2020-09-05 12:46:56,
11403,2020-09-05 12:47:02,
11404,2020-09-05 12:47:09,
11405,2020-09-05 12:47:09,
11406,2020-09-05 12:47:10,
11407,2020-09-05 12:47:11,
11408,,2020-09-05 12:47:12
11409,,2020-09-05 12:47:13
11410,,2020-09-05 12:47:16
11411,,2020-09-05 12:47:30
11412,2020-09-05 12:47:30,
11413,2020-09-05 12:47:30,
11414,,2020-09-05 12:47:45
11415,,2020-09-05 12:47:52
11416,,2020-09-05 12:47:52
11417,,2020-09-05 12:48:27
11418,,2020-09-05 12:48:28
11419,,2020-09-05 12:48:29
11420,2020-09-05 12:48:29,
11421,2020-09-05 12:48:31,
11422,,2020-09-05 12:48:41
11423,2020-09-05 12:49:03,
11424,2020-09-05 12:49:19,
11425,,2020-09-05 12:49:20
11426,,2020-09-05 12:49:21
11427,2020-09-05 12:49:21,
11428,,2020-09-05 12:49:31
11429,,2020-09-05 12:49:32
11430,,2020-09-05 12:49:33
11431,,2020-09-05 12:49:35
11432,2020-09-05 12:49:49,
11433,2020-09-05 12:49:53,
11434,2020-09-05 12:49:54,
11435,2020-09-05 12:49:55,
11436,2020-09-05 12:50:01,
11437,2020-09-05 12:50:05,
11438,2020-09-05 12:50:05,
11439,2020-09-05 12:50:09,
11440,2020-09-05 12:50:15,
11441,2020-09-05 12:50:23,
11442,2020-09-05 12:50:30,
11443,2020-09-05 12:50:37,
11444,2020-09-05 12:50:38,
11445,2020-09-05 12:50:44,
11446,2020-09-05 12:50:45,
11447,2020-09-05 12:50:46,
11448,,2020-09-05 12:50:51
11449,,2020-09-05 12:50:52
11450,,2020-09-05 12:50:53
11451,,2020-09-05 12:51:02
11452,,2020-09-05 12:51:02
11453,2020-09-05 12:51:10,
11454,2020-09-05 12:51:12,
11455,2020-09-05 12:51:13,
11456,2020-09-05 12:51:13,
11457,2020-09-05 12:51:14,
11458,2020-09-05 12:51:14,
11459,2020-09-05 12:51:16,
11460,2020-09-05 12:51:17,
11461,2020-09-05 12:51:23,
11462,,2020-09-05 12:51:27
11463,,2020-09-05 12:51:27
11464,2020-09-05 12:51:30,
11465,2020-09-05 12:51:42,
11466,2020-09-05 12:51:43,
11467,2020-09-05 12:51:48,
11468,2020-09-05 12:51:54,
11469,,2020-09-05 12:51:56
11470,,2020-09-05 12:51:56
11471,2020-09-05 12:51:57,
11472,,2020-09-05 12:52:02
11473,2020-09-05 12:52:02,
11474,,2020-09-05 12:52:02
11475,2020-09-05 12:52:09,
11476,2020-09-05 12:52:12,
11477,2020-09-05 12:52:13,
11478,,2020-09-05 12:52:14
11479,,2020-09-05 12:52:18
11480,2020-09-05 12:52:20,
11481,,2020-09-05 12:52:20
11482,,2020-09-05 12:52:28
11483,,2020-09-05 12:52:53
11484,2020-09-05 12:52:59,
11485,2020-09-05 12:53:00,
11486,2020-09-05 12:53:06,
11487,2020-09-05 12:53:12,
11488,,2020-09-05 12:53:18
11489,,2020-09-05 12:53:19
11490,,2020-09-05 12:53:25
11491,,2020-09-05 12:53:26
11492,,2020-09-05 12:53:27
11493,,2020-09-05 12:53:35
11494,,2020-09-05 12:53:35
11495,,2020-09-05 12:53:37
11496,2020-09-05 12:53:48,
11497,2020-09-05 12:54:07,
11498,2020-09-05 12:54:16,
11499,,2020-09-05 12:54:27
11500,2020-09-05 12:54:28,
11501,2020-09-05 12:54:29,
11502,2020-09-05 12:54:29,
11503,,2020-09-05 12:54:32
11504,2020-09-05 12:54:39,
11505,2020-09-05 12:55:08,
11506,,2020-09-05 12:55:11
11507,,2020-09-05 12:55:11
11508,,2020-09-05 12:55:12
11509,,2020-09-05 12:55:14
11510,2020-09-05 12:55:30,
11511,2020-09-05 12:55:30,
11512,2020-09-05 12:55:39,
11513,,2020-09-05 12:55:40
11514,,2020-09-05 12:55:40
11515,,2020-09-05 12:55:41
11516,,2020-09-05 12:55:41
11517,,2020-09-05 12:55:41
11518,,2020-09-05 12:55:42
11519,,2020-09-05 12:55:43
11520,,2020-09-05 12:55:43
11521,2020-09-05 12:56:03,
11522,2020-09-05 12:56:09,
11523,2020-09-05 12:56:17,
11524,2020-09-05 12:56:30,
11525,2020-09-05 12:56:31,
11526,2020-09-05 12:56:31,
11527,2020-09-05 12:56:31,
11528,2020-09-05 12:56:31,
11529,,2020-09-05 12:56:32
11530,,2020-09-05 12:56:32
13756,2020-09-05 15:38:07,
13757,2020-09-05 15:38:08,
13758,2020-09-05 15:38:08,
13759,2020-09-05 15:38:09,
13760,2020-09-05 15:38:09,
13761,2020-09-05 15:38:09,
13762,,2020-09-05 15:38:10
13763,2020-09-05 15:38:20,
11531,2020-09-05 12:56:38,
11532,,2020-09-05 12:56:44
11533,2020-09-05 12:57:10,
11534,2020-09-05 12:57:11,
11535,2020-09-05 12:57:14,
11536,,2020-09-05 12:57:15
11537,,2020-09-05 12:57:15
11538,,2020-09-05 12:57:28
11539,,2020-09-05 12:57:29
11540,2020-09-05 12:57:33,
13764,2020-09-05 15:38:27,
13765,,2020-09-05 15:38:32
13766,,2020-09-05 15:38:32
13767,,2020-09-05 15:38:35
13768,2020-09-05 15:38:43,
13769,2020-09-05 15:38:43,
13770,2020-09-05 15:38:44,
13771,,2020-09-05 15:39:01
13772,,2020-09-05 15:39:01
13773,2020-09-05 15:39:09,
13774,2020-09-05 15:39:10,
13775,2020-09-05 15:39:11,
13776,2020-09-05 15:39:11,
13777,2020-09-05 15:39:11,
13778,2020-09-05 15:39:12,
13779,2020-09-05 15:39:12,
13780,2020-09-05 15:39:12,
13781,2020-09-05 15:39:13,
13782,2020-09-05 15:39:14,
13783,2020-09-05 15:39:15,
13784,,2020-09-05 15:39:15
13785,,2020-09-05 15:39:16
13786,,2020-09-05 15:39:25
13787,2020-09-05 15:39:26,
13788,,2020-09-05 15:39:46
13789,,2020-09-05 15:39:49
13790,2020-09-05 15:39:57,
13791,2020-09-05 15:39:58,
13792,2020-09-05 15:39:58,
13793,,2020-09-05 15:39:59
13794,2020-09-05 15:40:00,
13795,,2020-09-05 15:40:02
13796,,2020-09-05 15:40:12
13797,,2020-09-05 15:40:13
13798,,2020-09-05 15:40:13
13799,,2020-09-05 15:40:13
13800,,2020-09-05 15:40:14
13801,,2020-09-05 15:40:29
13802,,2020-09-05 15:40:29
13803,,2020-09-05 15:40:30
13804,2020-09-05 15:40:54,
13805,2020-09-05 15:40:54,
13806,2020-09-05 15:40:55,
13807,2020-09-05 15:41:10,
13808,2020-09-05 15:41:11,
13809,,2020-09-05 15:41:20
13810,,2020-09-05 15:41:20
13811,,2020-09-05 15:41:21
13812,2020-09-05 15:41:31,
13813,,2020-09-05 15:41:39
13814,,2020-09-05 15:41:40
13815,2020-09-05 15:41:55,
13816,2020-09-05 15:41:56,
13817,2020-09-05 15:41:56,
13818,,2020-09-05 15:41:57
13819,,2020-09-05 15:41:57
13820,2020-09-05 15:41:58,
13821,2020-09-05 15:42:08,
13822,2020-09-05 15:42:09,
13823,2020-09-05 15:42:09,
13824,2020-09-05 15:42:14,
