"id_aforo","fecha_ingreso","fecha_salida"
48399,2020-09-09 07:02:13,
48400,2020-09-09 07:02:14,
48401,,2020-09-09 07:04:02
48402,2020-09-09 07:04:05,
48403,2020-09-09 07:04:15,
48404,2020-09-09 07:04:19,
48405,2020-09-09 07:04:28,
48406,,2020-09-09 07:04:29
48407,2020-09-09 07:04:40,
48408,2020-09-09 07:04:48,
48409,2020-09-09 07:04:54,
48410,2020-09-09 07:04:55,
48411,2020-09-09 07:05:03,
48412,,2020-09-09 07:05:29
48413,2020-09-09 07:06:39,
48414,,2020-09-09 07:06:43
48415,2020-09-09 07:07:42,
48416,2020-09-09 07:08:27,
48417,2020-09-09 07:09:32,
48418,2020-09-09 07:09:45,
48419,,2020-09-09 07:10:22
48420,,2020-09-09 07:11:16
48421,2020-09-09 07:11:26,
48422,2020-09-09 07:11:32,
48423,,2020-09-09 07:12:09
48424,2020-09-09 07:12:40,
48425,,2020-09-09 07:12:44
48426,2020-09-09 07:12:44,
48427,2020-09-09 07:12:49,
48428,2020-09-09 07:13:28,
48429,2020-09-09 07:13:33,
48430,2020-09-09 07:14:21,
48431,2020-09-09 07:14:30,
48432,2020-09-09 07:14:37,
48433,2020-09-09 07:14:40,
48434,,2020-09-09 07:14:44
48435,2020-09-09 07:14:59,
48436,2020-09-09 07:15:38,
48437,2020-09-09 07:16:21,
48438,2020-09-09 07:16:22,
48439,2020-09-09 07:16:39,
48440,,2020-09-09 07:17:24
48441,,2020-09-09 07:18:01
48442,,2020-09-09 07:18:02
48443,2020-09-09 07:18:06,
48444,2020-09-09 07:18:13,
48445,2020-09-09 07:18:17,
48446,,2020-09-09 07:18:26
48447,2020-09-09 07:18:55,
48448,2020-09-09 07:19:29,
48449,2020-09-09 07:19:30,
48450,2020-09-09 07:19:50,
48451,2020-09-09 07:20:24,
48452,2020-09-09 07:20:38,
48453,2020-09-09 07:20:56,
48454,2020-09-09 07:21:46,
48455,2020-09-09 07:21:56,
48456,2020-09-09 07:22:05,
48457,2020-09-09 07:22:15,
48458,2020-09-09 07:22:40,
48459,2020-09-09 07:22:41,
48460,2020-09-09 07:23:00,
48461,2020-09-09 07:23:16,
48462,2020-09-09 07:23:31,
48463,2020-09-09 07:23:39,
48464,,2020-09-09 07:24:16
48465,,2020-09-09 07:24:18
48466,,2020-09-09 07:24:59
48467,2020-09-09 07:25:10,
48468,2020-09-09 07:25:11,
48469,2020-09-09 07:25:14,
48470,2020-09-09 07:25:47,
48471,,2020-09-09 07:25:49
48472,,2020-09-09 07:26:10
48473,2020-09-09 07:26:19,
48474,2020-09-09 07:26:23,
48475,2020-09-09 07:26:35,
48476,2020-09-09 07:27:09,
48477,2020-09-09 07:27:10,
48478,2020-09-09 07:27:10,
48479,2020-09-09 07:27:11,
48480,2020-09-09 07:27:11,
48481,2020-09-09 07:27:49,
48482,,2020-09-09 07:28:36
48483,2020-09-09 07:28:51,
48484,2020-09-09 07:29:38,
48485,2020-09-09 07:30:40,
48486,2020-09-09 07:30:42,
48487,2020-09-09 07:30:42,
48488,2020-09-09 07:31:06,
48489,,2020-09-09 07:31:09
48490,2020-09-09 07:31:17,
48491,2020-09-09 07:31:30,
48492,2020-09-09 07:32:18,
48493,2020-09-09 07:32:19,
48494,2020-09-09 07:32:19,
48495,,2020-09-09 07:32:37
48496,,2020-09-09 07:32:37
48497,,2020-09-09 07:32:46
48498,,2020-09-09 07:32:46
48499,2020-09-09 07:33:31,
48500,2020-09-09 07:33:31,
48501,2020-09-09 07:33:32,
48502,2020-09-09 07:33:32,
48503,2020-09-09 07:33:33,
48504,2020-09-09 07:33:34,
48505,2020-09-09 07:33:34,
48506,,2020-09-09 07:33:35
48507,2020-09-09 07:34:11,
48508,2020-09-09 07:34:12,
48509,2020-09-09 07:34:13,
48510,2020-09-09 07:34:14,
48511,2020-09-09 07:34:32,
48512,2020-09-09 07:34:32,
48513,,2020-09-09 07:34:33
48514,2020-09-09 07:34:54,
48515,2020-09-09 07:34:54,
48516,2020-09-09 07:35:07,
48517,,2020-09-09 07:35:20
48518,2020-09-09 07:35:29,
48519,2020-09-09 07:35:29,
48520,,2020-09-09 07:36:27
48521,2020-09-09 07:37:01,
48522,,2020-09-09 07:38:01
48523,,2020-09-09 07:38:02
48524,,2020-09-09 07:38:49
48525,,2020-09-09 07:38:59
48526,,2020-09-09 07:39:45
48527,2020-09-09 07:41:04,
48528,2020-09-09 07:41:31,
48529,2020-09-09 07:41:33,
48530,,2020-09-09 07:41:44
48531,,2020-09-09 07:41:44
48532,2020-09-09 07:41:53,
48533,,2020-09-09 07:42:00
48534,2020-09-09 07:42:05,
48535,,2020-09-09 07:42:25
48536,,2020-09-09 07:43:44
48537,2020-09-09 07:44:05,
48538,2020-09-09 07:44:07,
48539,2020-09-09 07:44:07,
48540,2020-09-09 07:44:08,
48541,2020-09-09 07:44:09,
48542,2020-09-09 07:44:13,
48543,2020-09-09 07:44:30,
48544,2020-09-09 07:44:31,
48545,2020-09-09 07:44:51,
48546,2020-09-09 07:45:08,
48547,2020-09-09 07:45:15,
48548,2020-09-09 07:45:36,
48549,2020-09-09 07:45:57,
48550,2020-09-09 07:46:08,
48551,2020-09-09 07:46:09,
48552,2020-09-09 07:46:40,
48553,2020-09-09 07:46:40,
48554,2020-09-09 07:47:23,
48555,2020-09-09 07:47:23,
48556,,2020-09-09 07:47:45
48557,2020-09-09 07:47:52,
48558,2020-09-09 07:48:05,
48559,,2020-09-09 07:48:38
48560,2020-09-09 07:48:44,
48561,2020-09-09 07:48:44,
48562,2020-09-09 07:48:45,
48563,2020-09-09 07:48:54,
48564,2020-09-09 07:48:55,
48565,2020-09-09 07:48:56,
48566,2020-09-09 07:49:16,
48567,2020-09-09 07:49:17,
48568,2020-09-09 07:49:18,
48569,2020-09-09 07:49:20,
48570,2020-09-09 07:49:29,
48571,,2020-09-09 07:49:36
48572,2020-09-09 07:49:53,
48573,,2020-09-09 07:50:14
48574,2020-09-09 07:50:32,
48575,2020-09-09 07:50:33,
48576,2020-09-09 07:50:53,
48577,2020-09-09 07:51:40,
48578,2020-09-09 07:51:46,
48579,,2020-09-09 07:52:12
48580,2020-09-09 07:52:18,
48581,2020-09-09 07:52:46,
48582,2020-09-09 07:52:47,
48583,,2020-09-09 07:53:10
48584,,2020-09-09 07:53:18
48585,2020-09-09 07:53:41,
48586,2020-09-09 07:54:05,
48587,,2020-09-09 07:54:19
48588,2020-09-09 07:54:31,
48589,2020-09-09 07:54:43,
48590,2020-09-09 07:54:55,
48592,2020-09-09 07:55:16,
54574,,2020-09-09 14:32:16
54575,2020-09-09 14:32:20,
54576,,2020-09-09 14:32:20
54577,2020-09-09 14:32:20,
54578,2020-09-09 14:32:21,
54579,2020-09-09 14:32:22,
54580,,2020-09-09 14:32:26
54581,,2020-09-09 14:32:26
54582,,2020-09-09 14:32:41
54583,,2020-09-09 14:32:43
54584,2020-09-09 14:32:45,
54585,2020-09-09 14:32:52,
54586,2020-09-09 14:32:56,
54587,2020-09-09 14:33:07,
54588,,2020-09-09 14:33:08
54589,,2020-09-09 14:33:09
54590,,2020-09-09 14:33:10
54591,,2020-09-09 14:33:11
54592,2020-09-09 14:33:12,
54593,2020-09-09 14:33:17,
54594,2020-09-09 14:33:20,
54595,,2020-09-09 14:33:20
54596,,2020-09-09 14:33:21
54597,,2020-09-09 14:33:22
54598,2020-09-09 14:33:23,
54599,2020-09-09 14:33:25,
54600,2020-09-09 14:33:25,
54601,2020-09-09 14:33:29,
54602,2020-09-09 14:33:30,
54603,2020-09-09 14:33:30,
54604,,2020-09-09 14:33:33
54605,,2020-09-09 14:33:33
54606,,2020-09-09 14:33:34
54607,,2020-09-09 14:33:34
54608,,2020-09-09 14:33:37
54609,,2020-09-09 14:33:40
54610,,2020-09-09 14:33:45
54611,,2020-09-09 14:33:46
54612,2020-09-09 14:33:48,
54613,,2020-09-09 14:33:52
54614,,2020-09-09 14:33:52
54615,,2020-09-09 14:33:52
54617,,2020-09-09 14:33:59
54618,2020-09-09 14:34:03,
54619,2020-09-09 14:34:03,
54620,,2020-09-09 14:34:04
54621,,2020-09-09 14:34:05
54622,2020-09-09 14:34:11,
54623,2020-09-09 14:34:16,
54624,2020-09-09 14:34:16,
54625,2020-09-09 14:34:24,
54627,2020-09-09 14:34:27,
54628,2020-09-09 14:34:31,
54629,2020-09-09 14:34:36,
54630,2020-09-09 14:34:36,
54632,,2020-09-09 14:34:44
54633,2020-09-09 14:34:53,
54634,,2020-09-09 14:34:54
54635,,2020-09-09 14:34:54
54637,,2020-09-09 14:34:59
54638,2020-09-09 14:35:09,
54639,,2020-09-09 14:35:12
54640,,2020-09-09 14:35:12
54642,2020-09-09 14:35:12,
54643,2020-09-09 14:35:13,
54644,,2020-09-09 14:35:25
54645,,2020-09-09 14:35:25
54647,2020-09-09 14:35:25,
54648,,2020-09-09 14:35:25
54649,,2020-09-09 14:35:25
54650,2020-09-09 14:35:26,
55633,2020-09-09 15:20:41,
55634,2020-09-09 15:20:42,
55637,2020-09-09 15:20:43,
55638,2020-09-09 15:20:43,
55639,2020-09-09 15:20:43,
55641,,2020-09-09 15:20:45
55642,2020-09-09 15:20:45,
55643,2020-09-09 15:20:45,
55644,,2020-09-09 15:20:45
55647,,2020-09-09 15:20:47
55648,,2020-09-09 15:20:47
55649,,2020-09-09 15:20:48
