"id_tiempo","fecha","año","semestre","trimestre","mes","mes_nombre","semana","dia_semana","fecha_inicio_año","fecha_fin_año","fecha_inicio_semestre","fecha_fin_semestre","fecha_inicio_trimestre","fecha_fin_trimestre","fecha_inicio_mes","fecha_fin_mes","fecha_inicio_semana","fecha_fin_semana"
20200405,2020-04-05,2020,1,2,4,Abril,14,Domingo,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-03-30,2020-04-05
20200406,2020-04-06,2020,1,2,4,Abril,15,Lunes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-06,2020-04-12
20200407,2020-04-07,2020,1,2,4,Abril,15,Martes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-06,2020-04-12
20200408,2020-04-08,2020,1,2,4,Abril,15,Miércoles,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-06,2020-04-12
20200409,2020-04-09,2020,1,2,4,Abril,15,Jueves,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-06,2020-04-12
20200410,2020-04-10,2020,1,2,4,Abril,15,Viernes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-06,2020-04-12
20200411,2020-04-11,2020,1,2,4,Abril,15,Sábado,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-06,2020-04-12
20200412,2020-04-12,2020,1,2,4,Abril,15,Domingo,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-06,2020-04-12
20200413,2020-04-13,2020,1,2,4,Abril,16,Lunes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-13,2020-04-19
20200414,2020-04-14,2020,1,2,4,Abril,16,Martes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-13,2020-04-19
20200415,2020-04-15,2020,1,2,4,Abril,16,Miércoles,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-13,2020-04-19
20200416,2020-04-16,2020,1,2,4,Abril,16,Jueves,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-13,2020-04-19
20200417,2020-04-17,2020,1,2,4,Abril,16,Viernes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-13,2020-04-19
20200418,2020-04-18,2020,1,2,4,Abril,16,Sábado,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-13,2020-04-19
20200419,2020-04-19,2020,1,2,4,Abril,16,Domingo,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-13,2020-04-19
20200420,2020-04-20,2020,1,2,4,Abril,17,Lunes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-20,2020-04-26
20200421,2020-04-21,2020,1,2,4,Abril,17,Martes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-20,2020-04-26
20200422,2020-04-22,2020,1,2,4,Abril,17,Miércoles,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-20,2020-04-26
20200423,2020-04-23,2020,1,2,4,Abril,17,Jueves,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-20,2020-04-26
20200424,2020-04-24,2020,1,2,4,Abril,17,Viernes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-20,2020-04-26
20200425,2020-04-25,2020,1,2,4,Abril,17,Sábado,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-20,2020-04-26
