"id_aforo","fecha_ingreso","fecha_salida"
72859,2020-09-11 07:02:08,
72860,2020-09-11 07:02:08,
72861,2020-09-11 07:02:08,
72862,2020-09-11 07:02:08,
72863,2020-09-11 07:02:09,
72864,2020-09-11 07:02:09,
72865,2020-09-11 07:02:09,
72866,2020-09-11 07:02:09,
72867,,2020-09-11 07:02:11
72868,2020-09-11 07:02:13,
72869,2020-09-11 07:02:14,
72870,,2020-09-11 07:02:39
72871,2020-09-11 07:02:40,
72872,2020-09-11 07:02:45,
72873,2020-09-11 07:02:46,
72874,2020-09-11 07:03:24,
72875,2020-09-11 07:03:24,
72876,,2020-09-11 07:03:37
72877,,2020-09-11 07:03:38
72878,2020-09-11 07:03:41,
72879,2020-09-11 07:03:41,
72880,,2020-09-11 07:04:05
72881,,2020-09-11 07:04:12
72882,2020-09-11 07:04:17,
72883,2020-09-11 07:05:14,
72884,2020-09-11 07:05:57,
72885,2020-09-11 07:06:07,
72886,2020-09-11 07:07:03,
72887,2020-09-11 07:07:04,
72888,2020-09-11 07:07:05,
72889,2020-09-11 07:07:20,
72890,,2020-09-11 07:07:57
72891,2020-09-11 07:08:46,
72892,2020-09-11 07:08:47,
72893,2020-09-11 07:08:48,
72894,,2020-09-11 07:10:58
72895,2020-09-11 07:11:42,
72896,2020-09-11 07:11:43,
72897,2020-09-11 07:12:10,
72898,2020-09-11 07:13:24,
72899,,2020-09-11 07:13:27
72900,,2020-09-11 07:13:27
72901,,2020-09-11 07:13:36
72902,2020-09-11 07:13:37,
72903,2020-09-11 07:13:53,
72904,2020-09-11 07:13:54,
72905,2020-09-11 07:13:57,
72906,2020-09-11 07:14:21,
72907,2020-09-11 07:15:00,
72908,2020-09-11 07:15:03,
72909,2020-09-11 07:15:18,
72910,2020-09-11 07:15:18,
72911,2020-09-11 07:16:02,
72912,2020-09-11 07:17:29,
72913,2020-09-11 07:17:46,
72914,2020-09-11 07:17:49,
72915,2020-09-11 07:17:49,
72916,2020-09-11 07:17:50,
72917,2020-09-11 07:19:39,
72918,2020-09-11 07:20:26,
72919,2020-09-11 07:20:27,
72920,2020-09-11 07:20:33,
72921,2020-09-11 07:21:13,
72922,,2020-09-11 07:21:24
72923,,2020-09-11 07:21:25
72924,2020-09-11 07:21:51,
72925,,2020-09-11 07:22:45
72926,2020-09-11 07:22:54,
72927,2020-09-11 07:22:55,
72928,2020-09-11 07:22:55,
72929,,2020-09-11 07:23:00
72930,2020-09-11 07:23:13,
72931,2020-09-11 07:23:48,
72932,2020-09-11 07:23:51,
72933,2020-09-11 07:24:22,
72934,2020-09-11 07:24:29,
72935,,2020-09-11 07:24:37
72936,2020-09-11 07:24:38,
72937,2020-09-11 07:24:39,
72938,2020-09-11 07:24:56,
72939,2020-09-11 07:24:56,
72940,2020-09-11 07:24:59,
72941,2020-09-11 07:25:31,
72942,2020-09-11 07:25:53,
72943,2020-09-11 07:25:54,
72944,2020-09-11 07:25:55,
72945,2020-09-11 07:26:05,
72946,,2020-09-11 07:26:08
72947,2020-09-11 07:26:08,
72948,2020-09-11 07:26:21,
72949,2020-09-11 07:26:55,
